/home/mattia/Downloads/675-doc021958.pdf	04:52:45	561
/home/mattia/workspace/PrinceProject/Prince/cinque.dat	04:54:45	988
/home/mattia/workspace/PrinceProject/Prince/cinque.dat	04:55:06	1818
/home/mattia/workspace/PrinceProject/Prince/cinque.dat	04:55:21	773
/home/mattia/workspace/PrinceProject/Prince/cinque.dat	04:55:44	1013
tom.dat	04:58:03	3602	833381
tom.dat	04:58:03	3605	50
tom.dat	04:58:04	3603	833381
tom.dat	04:58:04	3600	833381
tom.dat	04:58:05	3601	833381
tom.dat	04:58:05	3599	833381
tom.dat	04:58:05	3604	833381
lena.dat	04:58:10	1190	833381
lena.dat	04:58:10	1191	833381
Mattia.dat	04:58:11	3318	833383
lena.dat	04:58:11	1192	833381
Mattia.dat	04:58:11	3319	833383
Mattia.dat	04:58:12	3320	833383
lena.dat	04:58:12	1193	833381
Mattia.dat	04:58:12	3324	52
Mattia.dat	04:58:13	3321	833383
Mattia.dat	04:58:13	3323	833383
Mattia.dat	04:58:13	3322	833383
lena.dat	04:58:14	1194	833381
lena.dat	04:58:14	1196	50
lena.dat	04:58:14	1195	833381
